name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Blood Crypt // Blood Crypt,,0,,,,"B,R",rare,ECL,Lorwyn Eclipsed,349,,,,
Bloomvine Regent // Claim Territory // Bloomvine Regent,,0,,,,G,rare,TDM,Tarkir: Dragonstorm,381,,,,Flying
Clarion Conqueror // Clarion Conqueror,,0,,,,W,rare,TDM,Tarkir: Dragonstorm,377,,,,Flying
Darksteel Colossus // Darksteel Colossus,,0,,,,,mythic,SLD,Secret Lair Drop,1081,,,,Indestructible;Trample
Death Baron // Death Baron,,0,,,,B,rare,SLD,Secret Lair Drop,1458,,,,
"Etali, Primal Storm // Etali, Primal Storm",,0,,,,R,rare,SLD,Secret Lair Drop,1123,,,,
Forest // Forest,,0,,,,G,common,REX,Jurassic World Collection,25,,,,
"Ghalta, Primal Hunger // Ghalta, Primal Hunger",,0,,,,G,rare,SLD,Secret Lair Drop,1124,,,,Trample
Hallowed Fountain // Hallowed Fountain,,0,,,,"U,W",rare,ECL,Lorwyn Eclipsed,347,,,,
Island // Island,,0,,,,U,common,REX,Jurassic World Collection,22,,,,
Magmatic Hellkite // Magmatic Hellkite,,0,,,,R,rare,TDM,Tarkir: Dragonstorm,380,,,,Flying
Marang River Regent // Coil and Catch // Marang River Regent,,0,,,,U,rare,TDM,Tarkir: Dragonstorm,378,,,,Flying
Mountain // Mountain,,0,,,,R,common,REX,Jurassic World Collection,24,,,,
Overgrown Tomb // Overgrown Tomb,,0,,,,"B,G",rare,ECL,Lorwyn Eclipsed,350,,,,
Plains // Plains,,0,,,,W,common,REX,Jurassic World Collection,21,,,,
Scavenger Regent // Exude Toxin // Scavenger Regent,,0,,,,B,rare,TDM,Tarkir: Dragonstorm,379,,,,Flying;Ward
Steam Vents // Steam Vents,,0,,,,"R,U",rare,ECL,Lorwyn Eclipsed,348,,,,
Swamp // Swamp,,0,,,,B,common,REX,Jurassic World Collection,23,,,,
Temple Garden // Temple Garden,,0,,,,"G,W",rare,ECL,Lorwyn Eclipsed,351,,,,
"Ugin, Eye of the Storms // Ugin, Eye of the Storms",,0,,,,,mythic,TDM,Tarkir: Dragonstorm,382,,,,
