name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
"Ajani, Caller of the Pride",{1}{W}{W},3.0,Legendary Planeswalker — Ajani,"+1: Put a +1/+1 counter on up to one target creature.
−3: Target creature gains flying and double strike until end of turn.
−8: Create X 2/2 white Cat creature tokens, where X is your life total.",W,W,mythic,M14,Magic 2014,1,,,4,
"Ajani, Caller of the Pride",{1}{W}{W},3.0,Legendary Planeswalker — Ajani,"+1: Put a +1/+1 counter on up to one target creature.
−3: Target creature gains flying and double strike until end of turn.
−8: Create X 2/2 white Cat creature tokens, where X is your life total.",W,W,mythic,FDN,Foundations,417,,,4,
"Ajani, Caller of the Pride",{1}{W}{W},3.0,Legendary Planeswalker — Ajani,"+1: Put a +1/+1 counter on up to one target creature.
−3: Target creature gains flying and double strike until end of turn.
−8: Create X 2/2 white Cat creature tokens, where X is your life total.",W,W,mythic,FDN,Foundations,134,,,4,
"Ajani, Caller of the Pride",{1}{W}{W},3.0,Legendary Planeswalker — Ajani,"+1: Put a +1/+1 counter on up to one target creature.
−3: Target creature gains flying and double strike until end of turn.
−8: Create X 2/2 white Cat creature tokens, where X is your life total.",W,W,mythic,M13,Magic 2013,1,,,4,
"Ajani, Caller of the Pride",{1}{W}{W},3.0,Legendary Planeswalker — Ajani,"+1: Put a +1/+1 counter on up to one target creature.
−3: Target creature gains flying and double strike until end of turn.
−8: Create X 2/2 white Cat creature tokens, where X is your life total.",W,W,mythic,SCD,Starter Commander Decks,6,,,4,
"Ajani, Caller of the Pride",{1}{W}{W},3.0,Legendary Planeswalker — Ajani,"+1: Put a +1/+1 counter on up to one target creature.
−3: Target creature gains flying and double strike until end of turn.
−8: Create X 2/2 white Cat creature tokens, where X is your life total.",W,W,mythic,FDN,Foundations,357,,,4,
"Ajani, Caller of the Pride",{1}{W}{W},3.0,Legendary Planeswalker — Ajani,"+1: Put a +1/+1 counter on up to one target creature.
−3: Target creature gains flying and double strike until end of turn.
−8: Create X 2/2 white Cat creature tokens, where X is your life total.",W,W,mythic,PSDC,San Diego Comic-Con 2013,1★,,,4,
"Ajani, Caller of the Pride",{1}{W}{W},3.0,Legendary Planeswalker — Ajani,"+1: Put a +1/+1 counter on up to one target creature.
−3: Target creature gains flying and double strike until end of turn.
−8: Create X 2/2 white Cat creature tokens, where X is your life total.",W,W,mythic,PFDN,Foundations Promos,134s,,,4,
"Ajani, Outland Chaperone",{1}{W}{W},3.0,Legendary Planeswalker — Ajani,"+1: Create a 1/1 green and white Kithkin creature token.
−2: Ajani deals 4 damage to target tapped creature.
−8: Look at the top X cards of your library, where X is your life total. You may put any number of nonland permanent cards with mana value 3 or less from among them onto the battlefield. Then shuffle.",W,W,mythic,ECL,Lorwyn Eclipsed,4,,,3,
"Ajani, Outland Chaperone",{1}{W}{W},3.0,Legendary Planeswalker — Ajani,"+1: Create a 1/1 green and white Kithkin creature token.
−2: Ajani deals 4 damage to target tapped creature.
−8: Look at the top X cards of your library, where X is your life total. You may put any number of nonland permanent cards with mana value 3 or less from among them onto the battlefield. Then shuffle.",W,W,mythic,ECL,Lorwyn Eclipsed,284,,,3,
"Ajani, Outland Chaperone",{1}{W}{W},3.0,Legendary Planeswalker — Ajani,"+1: Create a 1/1 green and white Kithkin creature token.
−2: Ajani deals 4 damage to target tapped creature.
−8: Look at the top X cards of your library, where X is your life total. You may put any number of nonland permanent cards with mana value 3 or less from among them onto the battlefield. Then shuffle.",W,W,mythic,PECL,Lorwyn Eclipsed Promos,4p,,,3,
"Ashiok, Wicked Manipulator",{3}{B}{B},5.0,Legendary Planeswalker — Ashiok,"If you would pay life while your library has at least that many cards in it, exile that many cards from the top of your library instead.
+1: Look at the top two cards of your library. Exile one of them and put the other into your hand.
−2: Create two 1/1 black Nightmare creature tokens with ""At the beginning of combat on your turn, if a card was put into exile this turn, put a +1/+1 counter on this token.""
−7: Target player exiles the top X cards of their library, where X is the total mana value of cards you own in exile.",B,B,mythic,PWOE,Wilds of Eldraine Promos,78p,,,5,
"Ashiok, Wicked Manipulator",{3}{B}{B},5.0,Legendary Planeswalker — Ashiok,"If you would pay life while your library has at least that many cards in it, exile that many cards from the top of your library instead.
+1: Look at the top two cards of your library. Exile one of them and put the other into your hand.
−2: Create two 1/1 black Nightmare creature tokens with ""At the beginning of combat on your turn, if a card was put into exile this turn, put a +1/+1 counter on this token.""
−7: Target player exiles the top X cards of their library, where X is the total mana value of cards you own in exile.",B,B,mythic,WOE,Wilds of Eldraine,78,,,5,
"Ashiok, Wicked Manipulator",{3}{B}{B},5.0,Legendary Planeswalker — Ashiok,"If you would pay life while your library has at least that many cards in it, exile that many cards from the top of your library instead.
+1: Look at the top two cards of your library. Exile one of them and put the other into your hand.
−2: Create two 1/1 black Nightmare creature tokens with ""At the beginning of combat on your turn, if a card was put into exile this turn, put a +1/+1 counter on this token.""
−7: Target player exiles the top X cards of their library, where X is the total mana value of cards you own in exile.",B,B,mythic,PWOE,Wilds of Eldraine Promos,78s,,,5,
"Ashiok, Wicked Manipulator",{3}{B}{B},5.0,Legendary Planeswalker — Ashiok,"If you would pay life while your library has at least that many cards in it, exile that many cards from the top of your library instead.
+1: Look at the top two cards of your library. Exile one of them and put the other into your hand.
−2: Create two 1/1 black Nightmare creature tokens with ""At the beginning of combat on your turn, if a card was put into exile this turn, put a +1/+1 counter on this token.""
−7: Target player exiles the top X cards of their library, where X is the total mana value of cards you own in exile.",B,B,mythic,WOE,Wilds of Eldraine,297,,,5,
"Chandra, Flameshaper",{5}{R}{R},7.0,Legendary Planeswalker — Chandra,"+2: Add {R}{R}{R}. Exile the top three cards of your library. Choose one. You may play that card this turn.
+1: Create a token that's a copy of target creature you control, except it has haste and ""At the beginning of the end step, sacrifice this token.""
−4: Chandra deals 8 damage divided as you choose among any number of target creatures and/or planeswalkers.",R,R,mythic,FDN,Foundations,360,,,6,
"Chandra, Flameshaper",{5}{R}{R},7.0,Legendary Planeswalker — Chandra,"+2: Add {R}{R}{R}. Exile the top three cards of your library. Choose one. You may play that card this turn.
+1: Create a token that's a copy of target creature you control, except it has haste and ""At the beginning of the end step, sacrifice this token.""
−4: Chandra deals 8 damage divided as you choose among any number of target creatures and/or planeswalkers.",R,R,mythic,PFDN,Foundations Promos,81s,,,6,
"Chandra, Flameshaper",{5}{R}{R},7.0,Legendary Planeswalker — Chandra,"+2: Add {R}{R}{R}. Exile the top three cards of your library. Choose one. You may play that card this turn.
+1: Create a token that's a copy of target creature you control, except it has haste and ""At the beginning of the end step, sacrifice this token.""
−4: Chandra deals 8 damage divided as you choose among any number of target creatures and/or planeswalkers.",R,R,mythic,FDN,Foundations,81,,,6,
"Chandra, Flameshaper",{5}{R}{R},7.0,Legendary Planeswalker — Chandra,"+2: Add {R}{R}{R}. Exile the top three cards of your library. Choose one. You may play that card this turn.
+1: Create a token that's a copy of target creature you control, except it has haste and ""At the beginning of the end step, sacrifice this token.""
−4: Chandra deals 8 damage divided as you choose among any number of target creatures and/or planeswalkers.",R,R,mythic,FDN,Foundations,420,,,6,
"Chandra, Spark Hunter",{3}{R},4.0,Legendary Planeswalker — Chandra,"At the beginning of combat on your turn, choose up to one target Vehicle you control. Until end of turn, it becomes an artifact creature and gains haste.
+2: You may sacrifice an artifact or discard a card. If you do, draw a card.
0: Create a 3/2 colorless Vehicle artifact token with crew 1.
−7: You get an emblem with ""Whenever an artifact you control enters, this emblem deals 3 damage to any target.""",R,R,mythic,DFT,Aetherdrift,116,,,4,
"Chandra, Spark Hunter",{3}{R},4.0,Legendary Planeswalker — Chandra,"At the beginning of combat on your turn, choose up to one target Vehicle you control. Until end of turn, it becomes an artifact creature and gains haste.
+2: You may sacrifice an artifact or discard a card. If you do, draw a card.
0: Create a 3/2 colorless Vehicle artifact token with crew 1.
−7: You get an emblem with ""Whenever an artifact you control enters, this emblem deals 3 damage to any target.""",R,R,mythic,DFT,Aetherdrift,456,,,4,
"Chandra, Spark Hunter",{3}{R},4.0,Legendary Planeswalker — Chandra,"At the beginning of combat on your turn, choose up to one target Vehicle you control. Until end of turn, it becomes an artifact creature and gains haste.
+2: You may sacrifice an artifact or discard a card. If you do, draw a card.
0: Create a 3/2 colorless Vehicle artifact token with crew 1.
−7: You get an emblem with ""Whenever an artifact you control enters, this emblem deals 3 damage to any target.""",R,R,mythic,PDFT,Aetherdrift Promos,116p,,,4,
"Chandra, Spark Hunter",{3}{R},4.0,Legendary Planeswalker — Chandra,"At the beginning of combat on your turn, choose up to one target Vehicle you control. Until end of turn, it becomes an artifact creature and gains haste.
+2: You may sacrifice an artifact or discard a card. If you do, draw a card.
0: Create a 3/2 colorless Vehicle artifact token with crew 1.
−7: You get an emblem with ""Whenever an artifact you control enters, this emblem deals 3 damage to any target.""",R,R,mythic,DFT,Aetherdrift,401,,,4,
