name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
"Kaito, Bane of Nightmares",{2}{U}{B},4.0,Legendary Planeswalker — Kaito,"Ninjutsu {1}{U}{B} ({1}{U}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
During your turn, as long as Kaito has one or more loyalty counters on him, he's a 3/4 Ninja creature and has hexproof.
+1: You get an emblem with ""Ninjas you control get +1/+1.""
0: Surveil 2. Then draw a card for each opponent who lost life this turn.
−2: Tap target creature. Put two stun counters on it.","B,U","B,U",mythic,DSK,Duskmourn: House of Horror,409,,,4,Surveil;Ninjutsu
"Kaito, Bane of Nightmares",{2}{U}{B},4.0,Legendary Planeswalker — Kaito,"Ninjutsu {1}{U}{B} ({1}{U}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
During your turn, as long as Kaito has one or more loyalty counters on him, he's a 3/4 Ninja creature and has hexproof.
+1: You get an emblem with ""Ninjas you control get +1/+1.""
0: Surveil 2. Then draw a card for each opponent who lost life this turn.
−2: Tap target creature. Put two stun counters on it.","B,U","B,U",mythic,PDSK,Duskmourn: House of Horror Promos,220p,,,4,Surveil;Ninjutsu
"Kaito, Bane of Nightmares",{2}{U}{B},4.0,Legendary Planeswalker — Kaito,"Ninjutsu {1}{U}{B} ({1}{U}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
During your turn, as long as Kaito has one or more loyalty counters on him, he's a 3/4 Ninja creature and has hexproof.
+1: You get an emblem with ""Ninjas you control get +1/+1.""
0: Surveil 2. Then draw a card for each opponent who lost life this turn.
−2: Tap target creature. Put two stun counters on it.","B,U","B,U",mythic,DSK,Duskmourn: House of Horror,220,,,4,Surveil;Ninjutsu
"Kaito, Bane of Nightmares",{2}{U}{B},4.0,Legendary Planeswalker — Kaito,"Ninjutsu {1}{U}{B} ({1}{U}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
During your turn, as long as Kaito has one or more loyalty counters on him, he's a 3/4 Ninja creature and has hexproof.
+1: You get an emblem with ""Ninjas you control get +1/+1.""
0: Surveil 2. Then draw a card for each opponent who lost life this turn.
−2: Tap target creature. Put two stun counters on it.","B,U","B,U",mythic,DSK,Duskmourn: House of Horror,328,,,4,Surveil;Ninjutsu
"Kaito, Bane of Nightmares",{2}{U}{B},4.0,Legendary Planeswalker — Kaito,"Ninjutsu {1}{U}{B} ({1}{U}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
During your turn, as long as Kaito has one or more loyalty counters on him, he's a 3/4 Ninja creature and has hexproof.
+1: You get an emblem with ""Ninjas you control get +1/+1.""
0: Surveil 2. Then draw a card for each opponent who lost life this turn.
−2: Tap target creature. Put two stun counters on it.","B,U","B,U",mythic,PDSK,Duskmourn: House of Horror Promos,220s,,,4,Surveil;Ninjutsu
"Kaito, Bane of Nightmares",{2}{U}{B},4.0,Legendary Planeswalker — Kaito,"Ninjutsu {1}{U}{B} ({1}{U}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
During your turn, as long as Kaito has one or more loyalty counters on him, he's a 3/4 Ninja creature and has hexproof.
+1: You get an emblem with ""Ninjas you control get +1/+1.""
0: Surveil 2. Then draw a card for each opponent who lost life this turn.
−2: Tap target creature. Put two stun counters on it.","B,U","B,U",mythic,DSK,Duskmourn: House of Horror,354,,,4,Surveil;Ninjutsu
"Kaito, Cunning Infiltrator",{1}{U}{U},3.0,Legendary Planeswalker — Kaito,"Whenever a creature you control deals combat damage to a player, put a loyalty counter on Kaito.
+1: Up to one target creature you control can't be blocked this turn. Draw a card, then discard a card.
−2: Create a 2/1 blue Ninja creature token.
−9: You get an emblem with ""Whenever a player casts a spell, you create a 2/1 blue Ninja creature token.""",U,U,mythic,FDN,Foundations,44,,,3,
"Kaito, Cunning Infiltrator",{1}{U}{U},3.0,Legendary Planeswalker — Kaito,"Whenever a creature you control deals combat damage to a player, put a loyalty counter on Kaito.
+1: Up to one target creature you control can't be blocked this turn. Draw a card, then discard a card.
−2: Create a 2/1 blue Ninja creature token.
−9: You get an emblem with ""Whenever a player casts a spell, you create a 2/1 blue Ninja creature token.""",U,U,mythic,PFDN,Foundations Promos,44s,,,3,
"Kaito, Cunning Infiltrator",{1}{U}{U},3.0,Legendary Planeswalker — Kaito,"Whenever a creature you control deals combat damage to a player, put a loyalty counter on Kaito.
+1: Up to one target creature you control can't be blocked this turn. Draw a card, then discard a card.
−2: Create a 2/1 blue Ninja creature token.
−9: You get an emblem with ""Whenever a player casts a spell, you create a 2/1 blue Ninja creature token.""",U,U,mythic,FDN,Foundations,418,,,3,
"Kaito, Cunning Infiltrator",{1}{U}{U},3.0,Legendary Planeswalker — Kaito,"Whenever a creature you control deals combat damage to a player, put a loyalty counter on Kaito.
+1: Up to one target creature you control can't be blocked this turn. Draw a card, then discard a card.
−2: Create a 2/1 blue Ninja creature token.
−9: You get an emblem with ""Whenever a player casts a spell, you create a 2/1 blue Ninja creature token.""",U,U,mythic,FDN,Foundations,434,,,3,
"Kaito, Cunning Infiltrator",{1}{U}{U},3.0,Legendary Planeswalker — Kaito,"Whenever a creature you control deals combat damage to a player, put a loyalty counter on Kaito.
+1: Up to one target creature you control can't be blocked this turn. Draw a card, then discard a card.
−2: Create a 2/1 blue Ninja creature token.
−9: You get an emblem with ""Whenever a player casts a spell, you create a 2/1 blue Ninja creature token.""",U,U,mythic,FDN,Foundations,424,,,3,
"Kaito, Cunning Infiltrator",{1}{U}{U},3.0,Legendary Planeswalker — Kaito,"Whenever a creature you control deals combat damage to a player, put a loyalty counter on Kaito.
+1: Up to one target creature you control can't be blocked this turn. Draw a card, then discard a card.
−2: Create a 2/1 blue Ninja creature token.
−9: You get an emblem with ""Whenever a player casts a spell, you create a 2/1 blue Ninja creature token.""",U,U,mythic,FDN,Foundations,358,,,3,
"Kaya, Spirits' Justice",{2}{W}{B},4.0,Legendary Planeswalker — Kaya,"Whenever one or more creatures you control and/or creature cards in your graveyard are put into exile, you may choose a creature card from among them. Until end of turn, target token you control becomes a copy of it, except it has flying.
+2: Surveil 2, then exile a card from a graveyard.
+1: Create a 1/1 white and black Spirit creature token with flying.
−2: Exile target creature you control. For each other player, exile up to one target creature that player controls.","B,W","B,W",mythic,PMKM,Murders at Karlov Manor Promos,211p,,,3,Surveil
"Kaya, Spirits' Justice",{2}{W}{B},4.0,Legendary Planeswalker — Kaya,"Whenever one or more creatures you control and/or creature cards in your graveyard are put into exile, you may choose a creature card from among them. Until end of turn, target token you control becomes a copy of it, except it has flying.
+2: Surveil 2, then exile a card from a graveyard.
+1: Create a 1/1 white and black Spirit creature token with flying.
−2: Exile target creature you control. For each other player, exile up to one target creature that player controls.","B,W","B,W",mythic,MKM,Murders at Karlov Manor,335,,,3,Surveil
