name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Back for Seconds,{2}{B},3.0,Sorcery,"Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.)
Return up to two target creature cards from your graveyard to your hand. If this spell was bargained, you may put one of those cards with mana value 4 or less onto the battlefield instead of putting it into your hand.",B,B,uncommon,WOE,Wilds of Eldraine,80,,,,Bargain
Back on Track,{4}{B},5.0,Sorcery,"Return target creature or Vehicle card from your graveyard to the battlefield. Create a 1/1 colorless Pilot creature token with ""This token saddles Mounts and crews Vehicles as though its power were 2 greater.""",B,B,uncommon,DFT,Aetherdrift,76,,,,
Badlands Revival,{3}{B}{G},5.0,Sorcery,Return up to one target creature card from your graveyard to the battlefield. Return up to one target permanent card from your graveyard to your hand.,"B,G","B,G",uncommon,OTJ,Outlaws of Thunder Junction,194,,,,
Beastie Beatdown,{R}{G},2.0,Sorcery,"Choose target creature you control and target creature an opponent controls.
Delirium — If there are four or more card types among cards in your graveyard, put two +1/+1 counters on the creature you control.
The creature you control deals damage equal to its power to the creature an opponent controls.","G,R","G,R",uncommon,DSK,Duskmourn: House of Horror,210,,,,Delirium
Become Brutes,{1}{R},2.0,Sorcery,"One or two target creatures each gain haste until end of turn. For each of those creatures, create a Monster Role token attached to it. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1 and has trample.)",R,R,uncommon,WOE,Wilds of Eldraine,317,,,,Role token
Behold the Sinister Six!,{6}{B},7.0,Sorcery,Return up to six target creature cards with different names from your graveyard to the battlefield.,B,B,mythic,SPM,Marvel's Spider-Man,51,,,,
Behold the Sinister Six!,{6}{B},7.0,Sorcery,Return up to six target creature cards with different names from your graveyard to the battlefield.,B,B,mythic,OM1,Through the Omenpaths,57,,,,
Behold the Sinister Six!,{6}{B},7.0,Sorcery,Return up to six target creature cards with different names from your graveyard to the battlefield.,B,B,mythic,PSPM,Marvel's Spider-Man Promos,51s,,,,
Behold the Sinister Six!,{6}{B},7.0,Sorcery,Return up to six target creature cards with different names from your graveyard to the battlefield.,B,B,mythic,SPM,Marvel's Spider-Man,221,,,,
Behold the Sinister Six!,{6}{B},7.0,Sorcery,Return up to six target creature cards with different names from your graveyard to the battlefield.,B,B,mythic,PURL,URL/Convention Promos,2025-4,,,,
Beseech the Mirror,{1}{B}{B}{B},4.0,Sorcery,"Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.)
Search your library for a card, exile it face down, then shuffle. If this spell was bargained, you may cast the exiled card without paying its mana cost if that spell's mana value is 4 or less. Put the exiled card into your hand if it wasn't cast this way.",B,B,mythic,WOE,Wilds of Eldraine,82,,,,Bargain
Beseech the Mirror,{1}{B}{B}{B},4.0,Sorcery,"Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.)
Search your library for a card, exile it face down, then shuffle. If this spell was bargained, you may cast the exiled card without paying its mana cost if that spell's mana value is 4 or less. Put the exiled card into your hand if it wasn't cast this way.",B,B,mythic,WOE,Wilds of Eldraine,336,,,,Bargain
Beseech the Mirror,{1}{B}{B}{B},4.0,Sorcery,"Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.)
Search your library for a card, exile it face down, then shuffle. If this spell was bargained, you may cast the exiled card without paying its mana cost if that spell's mana value is 4 or less. Put the exiled card into your hand if it wasn't cast this way.",B,B,mythic,PWOE,Wilds of Eldraine Promos,82p,,,,Bargain
