name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Dai Li Indoctrination,{1}{B},2.0,Sorcery — Lesson,"Choose one —
• Target opponent reveals their hand. You choose a nonland permanent card from it. That player discards that card.
• Earthbend 2. (Target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",B,B,common,TLA,Avatar: The Last Airbender,93,,,,Earthbend
Dance of the Tumbleweeds,{1}{G},2.0,Sorcery,"Spree (Choose one or more additional costs.)
+ {1} — Search your library for a basic land card or a Desert card, put it onto the battlefield, then shuffle.
+ {3} — Create an X/X green Elemental creature token, where X is the number of lands you control.",G,G,common,OTJ,Outlaws of Thunder Junction,160,,,,Spree
Daring Discovery,{4}{R},5.0,Sorcery,"Up to three target creatures can't block this turn.
Discover 4. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",R,R,common,LCI,The Lost Caverns of Ixalan,142,,,,Discover
Darkness Descends,{2}{B}{B},4.0,Sorcery,Put two -1/-1 counters on each creature.,B,B,uncommon,ECL,Lorwyn Eclipsed,97,,,,
Day of Black Sun,{X}{B}{B},2.0,Sorcery,Each creature with mana value X or less loses all abilities until end of turn. Destroy those creatures.,B,B,rare,PTLA,Avatar: The Last Airbender Promos,94s,,,,
Day of Black Sun,{X}{B}{B},2.0,Sorcery,Each creature with mana value X or less loses all abilities until end of turn. Destroy those creatures.,B,B,rare,TLA,Avatar: The Last Airbender,94,,,,
Day of Black Sun,{X}{B}{B},2.0,Sorcery,Each creature with mana value X or less loses all abilities until end of turn. Destroy those creatures.,B,B,rare,TLA,Avatar: The Last Airbender,373,,,,
Day of Black Sun,{X}{B}{B},2.0,Sorcery,Each creature with mana value X or less loses all abilities until end of turn. Destroy those creatures.,B,B,rare,PSPL,Spotlight Series,7,,,,
Day of Judgment,{2}{W}{W},4.0,Sorcery,Destroy all creatures.,W,W,rare,M11,Magic 2011,12,,,,
Day of Judgment,{2}{W}{W},4.0,Sorcery,Destroy all creatures.,W,W,rare,PRM,Magic Online Promos,36220,,,,
Day of Judgment,{2}{W}{W},4.0,Sorcery,Destroy all creatures.,W,W,rare,M12,Magic 2012,12,,,,
Day of Judgment,{2}{W}{W},4.0,Sorcery,Destroy all creatures.,W,W,rare,PRM,Magic Online Promos,37873,,,,
Day of Judgment,{2}{W}{W},4.0,Sorcery,Destroy all creatures.,W,W,rare,ZEN,Zendikar,9,,,,
Day of Judgment,{2}{W}{W},4.0,Sorcery,Destroy all creatures.,W,W,rare,PFDN,Foundations Promos,140s,,,,
Day of Judgment,{2}{W}{W},4.0,Sorcery,Destroy all creatures.,W,W,mythic,STA,Strixhaven Mystical Archive,2,,,,
