name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Macabre Reconstruction,{3}{B},4.0,Sorcery,"This spell costs {2} less to cast if a creature card was put into your graveyard from anywhere this turn.
Return up to two target creature cards from your graveyard to your hand.",B,B,common,MKM,Murders at Karlov Manor,93,,,,
Macabre Waltz,{1}{B},2.0,Sorcery,"Return up to two target creature cards from your graveyard to your hand, then discard a card.",B,B,common,FDN,Foundations,177,,,,
Macabre Waltz,{1}{B},2.0,Sorcery,"Return up to two target creature cards from your graveyard to your hand, then discard a card.",B,B,common,PLST,The List,SOI-121,,,,
Macabre Waltz,{1}{B},2.0,Sorcery,"Return up to two target creature cards from your graveyard to your hand, then discard a card.",B,B,common,SIR,Shadows over Innistrad Remastered,121,,,,
Macabre Waltz,{1}{B},2.0,Sorcery,"Return up to two target creature cards from your graveyard to your hand, then discard a card.",B,B,common,RVR,Ravnica Remastered,82,,,,
Macabre Waltz,{1}{B},2.0,Sorcery,"Return up to two target creature cards from your graveyard to your hand, then discard a card.",B,B,common,SOI,Shadows over Innistrad,121,,,,
Macabre Waltz,{1}{B},2.0,Sorcery,"Return up to two target creature cards from your graveyard to your hand, then discard a card.",B,B,common,ORI,Magic Origins,107,,,,
Macabre Waltz,{1}{B},2.0,Sorcery,"Return up to two target creature cards from your graveyard to your hand, then discard a card.",B,B,common,JMP,Jumpstart,252,,,,
Macabre Waltz,{1}{B},2.0,Sorcery,"Return up to two target creature cards from your graveyard to your hand, then discard a card.",B,B,common,DIS,Dissension,47,,,,
Macabre Waltz,{1}{B},2.0,Sorcery,"Return up to two target creature cards from your graveyard to your hand, then discard a card.",B,B,common,M19,Core Set 2019,108,,,,
Maelstrom Pulse,{1}{B}{G},3.0,Sorcery,Destroy target nonland permanent and all other permanents with the same name as that permanent.,"B,G","B,G",rare,FDN,Foundations,661,,,,
Maelstrom Pulse,{1}{B}{G},3.0,Sorcery,Destroy target nonland permanent and all other permanents with the same name as that permanent.,"B,G","B,G",rare,PRM,Magic Online Promos,37845,,,,
Maelstrom Pulse,{1}{B}{G},3.0,Sorcery,Destroy target nonland permanent and all other permanents with the same name as that permanent.,"B,G","B,G",mythic,PUMA,Ultimate Box Topper,U24,,,,
Maelstrom Pulse,{1}{B}{G},3.0,Sorcery,Destroy target nonland permanent and all other permanents with the same name as that permanent.,"B,G","B,G",rare,MMA,Modern Masters,180,,,,
Maelstrom Pulse,{1}{B}{G},3.0,Sorcery,Destroy target nonland permanent and all other permanents with the same name as that permanent.,"B,G","B,G",rare,INR,Innistrad Remastered,244,,,,
Maelstrom Pulse,{1}{B}{G},3.0,Sorcery,Destroy target nonland permanent and all other permanents with the same name as that permanent.,"B,G","B,G",rare,2XM,Double Masters,207,,,,
Maelstrom Pulse,{1}{B}{G},3.0,Sorcery,Destroy target nonland permanent and all other permanents with the same name as that permanent.,"B,G","B,G",rare,HA2,Historic Anthology 2,16,,,,
Maelstrom Pulse,{1}{B}{G},3.0,Sorcery,Destroy target nonland permanent and all other permanents with the same name as that permanent.,"B,G","B,G",rare,UMA,Ultimate Masters,204,,,,
Maelstrom Pulse,{1}{B}{G},3.0,Sorcery,Destroy target nonland permanent and all other permanents with the same name as that permanent.,"B,G","B,G",rare,PGPX,Grand Prix Promos,2011,,,,
Maelstrom Pulse,{1}{B}{G},3.0,Sorcery,Destroy target nonland permanent and all other permanents with the same name as that permanent.,"B,G","B,G",rare,BLC,Bloomburrow Commander,126,,,,
Maelstrom Pulse,{1}{B}{G},3.0,Sorcery,Destroy target nonland permanent and all other permanents with the same name as that permanent.,"B,G","B,G",special,MP2,Amonkhet Invocations,29,,,,
Maelstrom Pulse,{1}{B}{G},3.0,Sorcery,Destroy target nonland permanent and all other permanents with the same name as that permanent.,"B,G","B,G",rare,ARB,Alara Reborn,92,,,,
Maelstrom Pulse,{1}{B}{G},3.0,Sorcery,Destroy target nonland permanent and all other permanents with the same name as that permanent.,"B,G","B,G",rare,M3C,Modern Horizons 3 Commander,269,,,,
Make Your Own Luck,{3}{G}{U},5.0,Sorcery,"Look at the top three cards of your library. You may exile a nonland card from among them. If you do, it becomes plotted. Put the rest into your hand. (You may cast it as a sorcery on a later turn without paying its mana cost.)","G,U","G,U",uncommon,OTJ,Outlaws of Thunder Junction,218,,,,Plot
Make Your Own Luck,{3}{G}{U},5.0,Sorcery,"Look at the top three cards of your library. You may exile a nonland card from among them. If you do, it becomes plotted. Put the rest into your hand. (You may cast it as a sorcery on a later turn without paying its mana cost.)","G,U","G,U",uncommon,OTJ,Outlaws of Thunder Junction,371,,,,Plot
Malamet Battle Glyph,{G},1.0,Sorcery,"Choose target creature you control and target creature you don't control. If the creature you control entered this turn, put a +1/+1 counter on it. Then those creatures fight each other.",G,G,uncommon,LCI,The Lost Caverns of Ixalan,198,,,,Fight
Malicious Eclipse,{1}{B}{B},3.0,Sorcery,"All creatures get -2/-2 until end of turn. If a creature an opponent controls would die this turn, exile it instead.",B,B,uncommon,LCI,The Lost Caverns of Ixalan,111,,,,
Mammoth Bellow,{2}{G}{U}{R},5.0,Sorcery,"Create a 5/5 green Elephant creature token.
Harmonize {5}{G}{U}{R} (You may cast this card from your graveyard for its harmonize cost. You may tap a creature you control to reduce that cost by {X}, where X is its power. Then exile this spell.)","G,R,U","G,R,U",uncommon,TDM,Tarkir: Dragonstorm,205,,,,Harmonize
Manifest Dread,{1}{G},2.0,Sorcery,Manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.),G,G,common,DSK,Duskmourn: House of Horror,189,,,,Manifest;Manifest dread
Map the Frontier,{3}{G},4.0,Sorcery,"Search your library for up to two basic land cards and/or Desert cards, put them onto the battlefield tapped, then shuffle.",G,G,uncommon,OTJ,Outlaws of Thunder Junction,170,,,,
Memories Returning,{2}{U}{U},4.0,Sorcery,"Reveal the top five cards of your library. Put one of them into your hand. Then choose an opponent. They put one on the bottom of your library. Then you put one into your hand. Then they put one on the bottom of your library. Put the other into your hand.
Flashback {7}{U}{U}",U,U,rare,FIN,Final Fantasy,63,,,,Flashback
Memories Returning,{2}{U}{U},4.0,Sorcery,"Reveal the top five cards of your library. Put one of them into your hand. Then choose an opponent. They put one on the bottom of your library. Then you put one into your hand. Then they put one on the bottom of your library. Put the other into your hand.
Flashback {7}{U}{U}",U,U,rare,PFIN,Final Fantasy Promos,63s,,,,Flashback
Memories Returning,{2}{U}{U},4.0,Sorcery,"Reveal the top five cards of your library. Put one of them into your hand. Then choose an opponent. They put one on the bottom of your library. Then you put one into your hand. Then they put one on the bottom of your library. Put the other into your hand.
Flashback {7}{U}{U}",U,U,rare,FIN,Final Fantasy,331,,,,Flashback
Michelangelo's Technique,{4}{G},5.0,Sorcery,"Sneak {3}{G} (You may cast this spell for {3}{G} if you also return an unblocked attacker you control to hand during the declare blockers step.)
Look at the top eight cards of your library. Put up to two creature cards with total mana value 6 or less from among them onto the battlefield and the rest on the bottom of your library in a random order.",G,G,rare,TMT,Teenage Mutant Ninja Turtles,122,,,,Sneak
