name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Salt Road Skirmish,{3}{B},4.0,Sorcery,Destroy target creature. Create two 1/1 red Warrior creature tokens. They gain haste until end of turn. Sacrifice them at the beginning of the next end step.,B,B,uncommon,TDM,Tarkir: Dragonstorm,88,,,,
Sami's Curiosity,{G},1.0,Sorcery,"You gain 2 life. Create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")",G,G,common,EOE,Edge of Eternities,203,,,,
Sandman's Quicksand,{1}{B}{B},3.0,Sorcery,"Mayhem {3}{B} (You may cast this card from your graveyard for {3}{B} if you discarded it this turn. Timing rules still apply.)
All creatures get -2/-2 until end of turn. If this spell's mayhem cost was paid, creatures your opponents control get -2/-2 until end of turn instead.",B,B,uncommon,OM1,Through the Omenpaths,62,,,,Mayhem
Sandman's Quicksand,{1}{B}{B},3.0,Sorcery,"Mayhem {3}{B} (You may cast this card from your graveyard for {3}{B} if you discarded it this turn. Timing rules still apply.)
All creatures get -2/-2 until end of turn. If this spell's mayhem cost was paid, creatures your opponents control get -2/-2 until end of turn instead.",B,B,uncommon,SPM,Marvel's Spider-Man,63,,,,Mayhem
Sanguine Indulgence,{3}{B},4.0,Sorcery,"This spell costs {3} less to cast if you've gained 3 or more life this turn.
Return up to two target creature cards from your graveyard to your hand.",B,B,common,FDN,Foundations,613,,,,
Sanguine Indulgence,{3}{B},4.0,Sorcery,"This spell costs {3} less to cast if you've gained 3 or more life this turn.
Return up to two target creature cards from your graveyard to your hand.",B,B,common,M21,Core Set 2021,121,,,,
Say Its Name,{1}{G},2.0,Sorcery,"Mill three cards. Then you may return a creature or land card from your graveyard to your hand.
Exile this card and two other cards named Say Its Name from your graveyard: Search your graveyard, hand, and/or library for a card named Altanak, the Thrice-Called and put it onto the battlefield. If you search your library this way, shuffle. Activate only as a sorcery.",G,G,common,DSK,Duskmourn: House of Horror,197,,,,Mill
Scorching Shot,{R}{R},2.0,Sorcery,Scorching Shot deals 5 damage to target creature.,R,R,uncommon,OTJ,Outlaws of Thunder Junction,369,,,,
Scorching Shot,{R}{R},2.0,Sorcery,Scorching Shot deals 5 damage to target creature.,R,R,uncommon,OTJ,Outlaws of Thunder Junction,145,,,,
Scout for Survivors,{2}{W},3.0,Sorcery,Return up to three target creature cards with total mana value 3 or less from your graveyard to the battlefield. Put a +1/+1 counter on each of them.,W,W,uncommon,EOE,Edge of Eternities,33,,,,
Scout the City,{1}{G},2.0,Sorcery,"Choose one —
• Look Around — Mill three cards. You may put a permanent card from among them into your hand. You gain 3 life. (To mill three cards, put the top three cards of your library into your graveyard.)
• Bring Down — Destroy target creature with flying.",G,G,common,OM1,Through the Omenpaths,114,,,,Mill
Scout the City,{1}{G},2.0,Sorcery,"Choose one —
• Look Around — Mill three cards. You may put a permanent card from among them into your hand. You gain 3 life. (To mill three cards, put the top three cards of your library into your graveyard.)
• Bring Down — Destroy target creature with flying.",G,G,common,SPM,Marvel's Spider-Man,113,,,,Mill
Scrounge for Eternity,{2}{B},3.0,Sorcery,"As an additional cost to cast this spell, sacrifice an artifact or creature.
Return target creature or Spacecraft card with mana value 5 or less from your graveyard to the battlefield. Then create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")",B,B,uncommon,EOE,Edge of Eternities,114,,,,
Season of Gathering,{4}{G}{G},6.0,Sorcery,"Choose up to five {P} worth of modes. You may choose the same mode more than once.
{P} — Put a +1/+1 counter on a creature you control. It gains vigilance and trample until end of turn.
{P}{P} — Choose artifact or enchantment. Destroy all permanents of the chosen type.
{P}{P}{P} — Draw cards equal to the greatest power among creatures you control.",G,G,mythic,PBLB,Bloomburrow Promos,192p,,,,
Season of Gathering,{4}{G}{G},6.0,Sorcery,"Choose up to five {P} worth of modes. You may choose the same mode more than once.
{P} — Put a +1/+1 counter on a creature you control. It gains vigilance and trample until end of turn.
{P}{P} — Choose artifact or enchantment. Destroy all permanents of the chosen type.
{P}{P}{P} — Draw cards equal to the greatest power among creatures you control.",G,G,mythic,BLB,Bloomburrow,286,,,,
Season of Gathering,{4}{G}{G},6.0,Sorcery,"Choose up to five {P} worth of modes. You may choose the same mode more than once.
{P} — Put a +1/+1 counter on a creature you control. It gains vigilance and trample until end of turn.
{P}{P} — Choose artifact or enchantment. Destroy all permanents of the chosen type.
{P}{P}{P} — Draw cards equal to the greatest power among creatures you control.",G,G,mythic,BLB,Bloomburrow,192,,,,
Season of Gathering,{4}{G}{G},6.0,Sorcery,"Choose up to five {P} worth of modes. You may choose the same mode more than once.
{P} — Put a +1/+1 counter on a creature you control. It gains vigilance and trample until end of turn.
{P}{P} — Choose artifact or enchantment. Destroy all permanents of the chosen type.
{P}{P}{P} — Draw cards equal to the greatest power among creatures you control.",G,G,mythic,PBLB,Bloomburrow Promos,192s,,,,
Season of Loss,{3}{B}{B},5.0,Sorcery,"Choose up to five {P} worth of modes. You may choose the same mode more than once.
{P} — Each player sacrifices a creature of their choice.
{P}{P} — Draw a card for each creature that died under your control this turn.
{P}{P}{P} — Each opponent loses X life, where X is the number of creature cards in your graveyard.",B,B,mythic,BLB,Bloomburrow,284,,,,
Season of Loss,{3}{B}{B},5.0,Sorcery,"Choose up to five {P} worth of modes. You may choose the same mode more than once.
{P} — Each player sacrifices a creature of their choice.
{P}{P} — Draw a card for each creature that died under your control this turn.
{P}{P}{P} — Each opponent loses X life, where X is the number of creature cards in your graveyard.",B,B,mythic,PBLB,Bloomburrow Promos,112s,,,,
Season of Loss,{3}{B}{B},5.0,Sorcery,"Choose up to five {P} worth of modes. You may choose the same mode more than once.
{P} — Each player sacrifices a creature of their choice.
{P}{P} — Draw a card for each creature that died under your control this turn.
{P}{P}{P} — Each opponent loses X life, where X is the number of creature cards in your graveyard.",B,B,mythic,BLB,Bloomburrow,112,,,,
Season of Loss,{3}{B}{B},5.0,Sorcery,"Choose up to five {P} worth of modes. You may choose the same mode more than once.
{P} — Each player sacrifices a creature of their choice.
{P}{P} — Draw a card for each creature that died under your control this turn.
{P}{P}{P} — Each opponent loses X life, where X is the number of creature cards in your graveyard.",B,B,mythic,PBLB,Bloomburrow Promos,112p,,,,
Season of the Bold,{3}{R}{R},5.0,Sorcery,"Choose up to five {P} worth of modes. You may choose the same mode more than once.
{P} — Create a tapped Treasure token.
{P}{P} — Exile the top two cards of your library. Until the end of your next turn, you may play them.
{P}{P}{P} — Until the end of your next turn, whenever you cast a spell, Season of the Bold deals 2 damage to up to one target creature.",R,R,mythic,PBLB,Bloomburrow Promos,152p,,,,Treasure
Season of the Bold,{3}{R}{R},5.0,Sorcery,"Choose up to five {P} worth of modes. You may choose the same mode more than once.
{P} — Create a tapped Treasure token.
{P}{P} — Exile the top two cards of your library. Until the end of your next turn, you may play them.
{P}{P}{P} — Until the end of your next turn, whenever you cast a spell, Season of the Bold deals 2 damage to up to one target creature.",R,R,mythic,PBLB,Bloomburrow Promos,152s,,,,Treasure
Season of the Bold,{3}{R}{R},5.0,Sorcery,"Choose up to five {P} worth of modes. You may choose the same mode more than once.
{P} — Create a tapped Treasure token.
{P}{P} — Exile the top two cards of your library. Until the end of your next turn, you may play them.
{P}{P}{P} — Until the end of your next turn, whenever you cast a spell, Season of the Bold deals 2 damage to up to one target creature.",R,R,mythic,BLB,Bloomburrow,152,,,,Treasure
Season of the Bold,{3}{R}{R},5.0,Sorcery,"Choose up to five {P} worth of modes. You may choose the same mode more than once.
{P} — Create a tapped Treasure token.
{P}{P} — Exile the top two cards of your library. Until the end of your next turn, you may play them.
{P}{P}{P} — Until the end of your next turn, whenever you cast a spell, Season of the Bold deals 2 damage to up to one target creature.",R,R,mythic,BLB,Bloomburrow,285,,,,Treasure
Season of the Burrow,{3}{W}{W},5.0,Sorcery,"Choose up to five {P} worth of modes. You may choose the same mode more than once.
{P} — Create a 1/1 white Rabbit creature token.
{P}{P} — Exile target nonland permanent. Its controller draws a card.
{P}{P}{P} — Return target permanent card with mana value 3 or less from your graveyard to the battlefield with an indestructible counter on it.",W,W,mythic,BLB,Bloomburrow,29,,,,
Season of the Burrow,{3}{W}{W},5.0,Sorcery,"Choose up to five {P} worth of modes. You may choose the same mode more than once.
{P} — Create a 1/1 white Rabbit creature token.
{P}{P} — Exile target nonland permanent. Its controller draws a card.
{P}{P}{P} — Return target permanent card with mana value 3 or less from your graveyard to the battlefield with an indestructible counter on it.",W,W,mythic,PBLB,Bloomburrow Promos,29p,,,,
Season of the Burrow,{3}{W}{W},5.0,Sorcery,"Choose up to five {P} worth of modes. You may choose the same mode more than once.
{P} — Create a 1/1 white Rabbit creature token.
{P}{P} — Exile target nonland permanent. Its controller draws a card.
{P}{P}{P} — Return target permanent card with mana value 3 or less from your graveyard to the battlefield with an indestructible counter on it.",W,W,mythic,PBLB,Bloomburrow Promos,29s,,,,
Season of the Burrow,{3}{W}{W},5.0,Sorcery,"Choose up to five {P} worth of modes. You may choose the same mode more than once.
{P} — Create a 1/1 white Rabbit creature token.
{P}{P} — Exile target nonland permanent. Its controller draws a card.
{P}{P}{P} — Return target permanent card with mana value 3 or less from your graveyard to the battlefield with an indestructible counter on it.",W,W,mythic,BLB,Bloomburrow,282,,,,
Season of Weaving,{4}{U}{U},6.0,Sorcery,"Choose up to five {P} worth of modes. You may choose the same mode more than once.
{P} — Draw a card.
{P}{P} — Choose an artifact or creature you control. Create a token that's a copy of it.
{P}{P}{P} — Return each nonland, nontoken permanent to its owner's hand.",U,U,mythic,PBLB,Bloomburrow Promos,68p,,,,
Season of Weaving,{4}{U}{U},6.0,Sorcery,"Choose up to five {P} worth of modes. You may choose the same mode more than once.
{P} — Draw a card.
{P}{P} — Choose an artifact or creature you control. Create a token that's a copy of it.
{P}{P}{P} — Return each nonland, nontoken permanent to its owner's hand.",U,U,mythic,PBLB,Bloomburrow Promos,68s,,,,
Season of Weaving,{4}{U}{U},6.0,Sorcery,"Choose up to five {P} worth of modes. You may choose the same mode more than once.
{P} — Draw a card.
{P}{P} — Choose an artifact or creature you control. Create a token that's a copy of it.
{P}{P}{P} — Return each nonland, nontoken permanent to its owner's hand.",U,U,mythic,BLB,Bloomburrow,283,,,,
Season of Weaving,{4}{U}{U},6.0,Sorcery,"Choose up to five {P} worth of modes. You may choose the same mode more than once.
{P} — Draw a card.
{P}{P} — Choose an artifact or creature you control. Create a token that's a copy of it.
{P}{P}{P} — Return each nonland, nontoken permanent to its owner's hand.",U,U,mythic,BLB,Bloomburrow,68,,,,
Secret of Bloodbending,{U}{U}{U}{U},4.0,Sorcery — Lesson,"As an additional cost to cast this spell, you may waterbend {10}.
You control target opponent during their next combat phase. If this spell's additional cost was paid, you control that player during their next turn instead. (You see all cards that player could see and make all decisions for them.)
Exile Secret of Bloodbending.",U,U,mythic,TLA,Avatar: The Last Airbender,337,,,,Waterbend
Secret of Bloodbending,{U}{U}{U}{U},4.0,Sorcery — Lesson,"As an additional cost to cast this spell, you may waterbend {10}.
You control target opponent during their next combat phase. If this spell's additional cost was paid, you control that player during their next turn instead. (You see all cards that player could see and make all decisions for them.)
Exile Secret of Bloodbending.",U,U,mythic,TLA,Avatar: The Last Airbender,69,,,,Waterbend
Secret of Bloodbending,{U}{U}{U}{U},4.0,Sorcery — Lesson,"As an additional cost to cast this spell, you may waterbend {10}.
You control target opponent during their next combat phase. If this spell's additional cost was paid, you control that player during their next turn instead. (You see all cards that player could see and make all decisions for them.)
Exile Secret of Bloodbending.",U,U,mythic,PTLA,Avatar: The Last Airbender Promos,69s,,,,Waterbend
Seeker's Folly,{2}{B},3.0,Sorcery,"Choose one —
• Target opponent discards two cards.
• Creatures your opponents control get -1/-1 until end of turn.",B,B,uncommon,FDN,Foundations,69,,,,
Seismic Rupture,{2}{R},3.0,Sorcery,Seismic Rupture deals 2 damage to each creature without flying.,R,R,uncommon,FDN,Foundations,205,,,,
Seismic Rupture,{2}{R},3.0,Sorcery,Seismic Rupture deals 2 damage to each creature without flying.,R,R,uncommon,DTK,Dragons of Tarkir,156,,,,
Seismic Sense,{G},1.0,Sorcery — Lesson,"Look at the top X cards of your library, where X is the number of lands you control. You may reveal a creature or land card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",G,G,uncommon,TLA,Avatar: The Last Airbender,195,,,,
