name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Wail of the Forgotten,{U}{B},2.0,Sorcery,"Descend 8 — Choose one. If there are eight or more permanent cards in your graveyard as you cast this spell, choose one or more instead.
• Return target nonland permanent to its owner's hand.
• Target opponent discards a card.
• Look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard.","B,U","B,U",rare,LCI,The Lost Caverns of Ixalan,244,,,,Descend
Wail of the Forgotten,{U}{B},2.0,Sorcery,"Descend 8 — Choose one. If there are eight or more permanent cards in your graveyard as you cast this spell, choose one or more instead.
• Return target nonland permanent to its owner's hand.
• Target opponent discards a card.
• Look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard.","B,U","B,U",rare,PLCI,The Lost Caverns of Ixalan Promos,244s,,,,Descend
Wail of the Forgotten,{U}{B},2.0,Sorcery,"Descend 8 — Choose one. If there are eight or more permanent cards in your graveyard as you cast this spell, choose one or more instead.
• Return target nonland permanent to its owner's hand.
• Target opponent discards a card.
• Look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard.","B,U","B,U",rare,LCI,The Lost Caverns of Ixalan,343,,,,Descend
Wail of the Forgotten,{U}{B},2.0,Sorcery,"Descend 8 — Choose one. If there are eight or more permanent cards in your graveyard as you cast this spell, choose one or more instead.
• Return target nonland permanent to its owner's hand.
• Target opponent discards a card.
• Look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard.","B,U","B,U",rare,PLCI,The Lost Caverns of Ixalan Promos,244p,,,,Descend
Walk with the Ancestors,{4}{G},5.0,Sorcery,Return up to one target permanent card from your graveyard to your hand. Discover 4. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.),G,G,common,LCI,The Lost Caverns of Ixalan,218,,,,Discover
Waltz of Rage,{3}{R}{R},5.0,Sorcery,"Target creature you control deals damage equal to its power to each other creature. Until end of turn, whenever a creature you control dies, exile the top card of your library. You may play it until the end of your next turn.",R,R,rare,PDSK,Duskmourn: House of Horror Promos,165p,,,,
Waltz of Rage,{3}{R}{R},5.0,Sorcery,"Target creature you control deals damage equal to its power to each other creature. Until end of turn, whenever a creature you control dies, exile the top card of your library. You may play it until the end of your next turn.",R,R,rare,DSK,Duskmourn: House of Horror,165,,,,
Waltz of Rage,{3}{R}{R},5.0,Sorcery,"Target creature you control deals damage equal to its power to each other creature. Until end of turn, whenever a creature you control dies, exile the top card of your library. You may play it until the end of your next turn.",R,R,rare,PDSK,Duskmourn: House of Horror Promos,165s,,,,
Waltz of Rage,{3}{R}{R},5.0,Sorcery,"Target creature you control deals damage equal to its power to each other creature. Until end of turn, whenever a creature you control dies, exile the top card of your library. You may play it until the end of your next turn.",R,R,rare,DSK,Duskmourn: House of Horror,318,,,,
Wanderwine Farewell,{5}{U}{U},7.0,Kindred Sorcery — Merfolk,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Return one or two target nonland permanents to their owners' hands. Then if you control a Merfolk, create a 1/1 white and blue Merfolk creature token for each permanent returned to its owner's hand this way.",U,U,uncommon,ECL,Lorwyn Eclipsed,83,,,,Convoke
