name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
"Zanarkand, Ancient Metropolis // Lasting Fayth",{4}{G}{G},0.0,Land — Town // Sorcery — Adventure,,,G,rare,PFIN,Final Fantasy Promos,293s,,,,
"Zanarkand, Ancient Metropolis // Lasting Fayth",{4}{G}{G},0.0,Land — Town // Sorcery — Adventure,,,G,rare,FIN,Final Fantasy,293,,,,
"Zanarkand, Ancient Metropolis // Lasting Fayth",{4}{G}{G},0.0,Land — Town // Sorcery — Adventure,,,G,rare,FIN,Final Fantasy,314,,,,
Zero Point Ballad,{X}{B},1.0,Sorcery,"Destroy all creatures with toughness X or less. You lose X life. If X is 6 or more, return a creature card put into a graveyard this way to the battlefield under your control.",B,B,rare,PEOE,Edge of Eternities Promos,128p,,,,
Zero Point Ballad,{X}{B},1.0,Sorcery,"Destroy all creatures with toughness X or less. You lose X life. If X is 6 or more, return a creature card put into a graveyard this way to the battlefield under your control.",B,B,rare,EOE,Edge of Eternities,128,,,,
Zero Point Ballad,{X}{B},1.0,Sorcery,"Destroy all creatures with toughness X or less. You lose X life. If X is 6 or more, return a creature card put into a graveyard this way to the battlefield under your control.",B,B,rare,EOE,Edge of Eternities,335,,,,
Zero Point Ballad,{X}{B},1.0,Sorcery,"Destroy all creatures with toughness X or less. You lose X life. If X is 6 or more, return a creature card put into a graveyard this way to the battlefield under your control.",B,B,rare,PEOE,Edge of Eternities Promos,128s,,,,
Zombify,{3}{B},4.0,Sorcery,Return target creature card from your graveyard to the battlefield.,B,B,uncommon,WC03,World Championship Decks 2003,pk174,,,,
Zombify,{3}{B},4.0,Sorcery,Return target creature card from your graveyard to the battlefield.,B,B,rare,P06,Magic Player Rewards 2006,6,,,,
Zombify,{3}{B},4.0,Sorcery,Return target creature card from your graveyard to the battlefield.,B,B,uncommon,ODY,Odyssey,171†,,,,
Zombify,{3}{B},4.0,Sorcery,Return target creature card from your graveyard to the battlefield.,B,B,uncommon,8ED,Eighth Edition,174★,,,,
Zombify,{3}{B},4.0,Sorcery,Return target creature card from your graveyard to the battlefield.,B,B,uncommon,8ED,Eighth Edition,174,,,,
Zombify,{3}{B},4.0,Sorcery,Return target creature card from your graveyard to the battlefield.,B,B,uncommon,ODY,Odyssey,171,,,,
Zombify,{3}{B},4.0,Sorcery,Return target creature card from your graveyard to the battlefield.,B,B,uncommon,PRM,Magic Online Promos,35170,,,,
Zombify,{3}{B},4.0,Sorcery,Return target creature card from your graveyard to the battlefield.,B,B,uncommon,A25,Masters 25,116,,,,
Zombify,{3}{B},4.0,Sorcery,Return target creature card from your graveyard to the battlefield.,B,B,uncommon,9ED,Ninth Edition,171,,,,
Zombify,{3}{B},4.0,Sorcery,Return target creature card from your graveyard to the battlefield.,B,B,uncommon,9ED,Ninth Edition,171★,,,,
Zombify,{3}{B},4.0,Sorcery,Return target creature card from your graveyard to the battlefield.,B,B,uncommon,ARC,Archenemy,29,,,,
Zombify,{3}{B},4.0,Sorcery,Return target creature card from your graveyard to the battlefield.,B,B,uncommon,FDN,Foundations,187,,,,
Zombify,{3}{B},4.0,Sorcery,Return target creature card from your graveyard to the battlefield.,B,B,uncommon,PS11,Salvat 2011,89,,,,
